SAMPLE_NUMBER,SAMPLE_ID,LATITUDE,LONGITUDE,BOX_NUMBER,COLLECTION_DATE,COLLECTION_TIME,SAMPLE_BAG,BEFORE_PHOTO_NUMBER,AFTER_PHOTO_NUMBER,SHOT_MEASUREMENT_X,SHOT_MEASUREMENT_Y,PENETROMETER_READING,RELIABILITY_,NOTES,IMAGES,,,,,,,
1,2018080600_,32.242610,-108.944420,2018080600,2018-08-06,1:52 PM,,539,540,17,20,,,NEAR THE TRAFFIC SIGN (LORDSBERG 16 DEMING 76),,,,,,,,
2,2018080600_SB1,32.242590,-108.944460,2018080600,2018-08-06,12:01 PM,SB1,,,,,,,NEAR THE TRAFFIC SIGN (LORDSBERG 16 DEMING 76),,,,,,,,
3,2018080600_SB2,32.242010,-108.943940,2018080600,2018-08-06,1:52 PM,SB2,541,542,15,17,11.519,LOW,,,,,,,,,
4,2018080600_SB3,32.242400,-108.944190,2018080600,2018-08-06,2:09 PM,SB3,,,,,,,WE SUSPECT THAT IT IS SALTY SOIL,,,,,,,,
5,2018080600_SB4,32.242400,-108.944190,2018080600,2018-08-06,2:26 PM,SB4,553,554,15,21,8.619,LOW,AROUND/NEAR INSTRUMENT #3,,,,,,,,
6,2018080600_SB5,32.267290,-108.878410,2018080600,2018-08-07,10:20 AM,SB5,555,556,16,20,NO READING -- HARD,LOW,,,,,,,,,
7,2018080600_SB6,32.266640,-108.878530,2018080600,2018-08-07,10:34 AM,SB6,559,560,9,13,NO READING -- HARD,LOW,,,,,,,,,
8,2018080600_SB7,32.280580,-108.882000,2018080600,2018-08-07,10:56 AM,SB7,561,562,19,30,2.619,LOW,NEAR RAILWAY -- SOUTH SIDE,,,,,,,,
9,2018080600_SB8,32.281040,-108.882180,2018080600,2018-08-07,11:09 AM,SB8,566,567,10,15,7.019,LOW,NEAR RAILWAY -- NORTH SIDE,,,,,,,,
10,2018080600_SB9,32.391240,-108.943760,2018080600,2018-08-07,12:27 PM,SB9,,,,,,,,,,,,,,,
11,2018092000_11.0N-A-POND,32.280298,-108.881693,2018092000,2018-09-20,,11.0N-A-POND,,,,,,,,,,,,,,,
12,2018092000_11.0N-B-POND,32.280298,-108.881693,2018092000,2018-09-20,,11.0N-B-POND,,,,,,,,,,,,,,,
13,2018092000_11.0N-C-POND,32.280298,-108.881693,2018092000,2018-09-20,,11.0N-C-POND,,,,,,,,,,,,,,,
14,2018092000_11.0N-D-POND,32.280298,-108.881693,2018092000,2018-09-20,,11.0N-D-POND,,,,,,,,,,,,,,,
15,2018092000_11.4N-ROAD,32.283144,-108.875750,2018092000,2018-09-20,,11.4N-ROAD,,,,,,,,,,,,,,,
16,2018092000_11.6N-ROAD,32.284671,-108.873209,2018092000,2018-09-20,,11.6N-ROAD,,,,,,,,,,,,,,,
17,2018092000_11.8N-ROAD,32.286286,-108.870249,2018092000,2018-09-20,,11.8N-ROAD,,,,,,,,,,,,,,,
18,2018092000_12.0N-ROAD,32.288055,-108.867315,2018092000,2018-09-20,,12.0N-ROAD,,,,,,,,,,,,,,,
19,2018092000_12.6N-ROAD,32.291210,-108.861681,2018092000,2018-09-20,,12.6N-ROAD,,,,,,,,,,,,,,,
20,2018092000_12.8N-CENTER,32.293665,-108.857449,2018092000,2018-09-20,,12.8N-CENTER,,,,,,,,,,,,,,,
21,2018092000_12.8N-FENCE,32.293665,-108.857449,2018092000,2018-09-20,,12.8N-FENCE,,,,,,,,,,,,,,,
22,2018092000_13.0N-CENTER,32.296103,-108.853148,2018092000,2018-09-20,,13.0N-CENTER,,,,,,,,,,,,,,,
23,2018092000_13.0N-FENCE,32.296103,-108.853148,2018092000,2018-09-20,,13.0N-FENCE,,,,,,,,,,,,,,,
24,2018092000_13.0N-ROAD,32.296103,-108.853148,2018092000,2018-09-20,,13.0N-ROAD,,,,,,,,,,,,,,,
25,2018092000_13.4N-CENTER,32.297629,-108.850274,2018092000,2018-09-20,,13.4N-CENTER,,,,,,,,,,,,,,,
26,2018092000_13.4N-FENCE,32.297629,-108.850274,2018092000,2018-09-20,,13.4N-FENCE,,,,,,,,,,,,,,,
27,2018092000_13.4N-ROAD,32.297707,-108.850354,2018092000,2018-09-20,,13.4N-ROAD,,,,,,,,,,,,,,,
28,2018092000_13.6N-CENTER,32.299267,-108.847531,2018092000,2018-09-20,,13.6N-CENTER,,,,,,,,,,,,,,,
29,2018092000_13.6N-FENCE,32.299267,-108.847531,2018092000,2018-09-20,,13.6N-FENCE,,,,,,,,,,,,,,,
30,2018092000_13.6N-ROAD,32.299267,-108.847531,2018092000,2018-09-20,,13.6N-ROAD,,,,,,,,,,,,,,,
